Type,Details,Product,Date,Before,Change,Balance
Bonus,Sports Profit Boost Awarded: 10BBCBBPAR0118,Sportsbook,"Jan 18, 2025, 12:21pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000131),Sportsbook,"Jan 17, 2025, 9:15pm ET",$232.60,#ERROR!,$251.61
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00322870986),Sportsbook,"Jan 17, 2025, 7:43pm ET",$242.60,-$10.00,$232.60
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00322866214),Sportsbook,"Jan 17, 2025, 7:37pm ET",$252.60,-$10.00,$242.60
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00319066760) (2 of 2),Sportsbook,"Jan 13, 2025, 9:06pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00319066760) (1 of 2),Sportsbook,"Jan 13, 2025, 9:06pm ET",$262.60,-$10.00,$252.60
Bonus,Sports Profit Boost Awarded: 10NFLPPBT0113,Sportsbook,"Jan 13, 2025, 8:58pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jan 13, 2025, 3:08am ET",1,-1,0
Bonus,No sweat token award 5NFLSGPNS0112,Sportsbook,"Jan 12, 2025, 4:40pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000128),Sportsbook,"Jan 12, 2025, 4:06pm ET",$228.29,#ERROR!,$262.60
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00318083629) (2 of 2),Sportsbook,"Jan 12, 2025, 1:23pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00318083629) (1 of 2),Sportsbook,"Jan 12, 2025, 1:23pm ET",$238.29,-$10.00,$228.29
Bonus,Sports Profit Boost Awarded: 10NFLPPBT0112,Sportsbook,"Jan 12, 2025, 12:59pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jan 12, 2025, 4:12am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00317338074) (2 of 2),Sportsbook,"Jan 11, 2025, 4:57pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00317338074) (1 of 2),Sportsbook,"Jan 11, 2025, 4:57pm ET",$248.29,-$10.00,$238.29
Bonus,Sports Profit Boost Awarded: 10NFLPPBT0111,Sportsbook,"Jan 11, 2025, 4:52pm ET",1,1,2
Bonus,No sweat token award 5NFLNSSGP0108,Sportsbook,"Jan 11, 2025, 4:52pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jan 11, 2025, 2:44am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000126),Sportsbook,"Jan 10, 2025, 11:09pm ET",$230.29,#ERROR!,$248.29
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00316839498) (2 of 2),Sportsbook,"Jan 10, 2025, 10:12pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00316839498) (1 of 2),Sportsbook,"Jan 10, 2025, 10:12pm ET",$240.29,-$10.00,$230.29
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00316693200) (2 of 2),Sportsbook,"Jan 10, 2025, 7:26pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00316693200) (1 of 2),Sportsbook,"Jan 10, 2025, 7:26pm ET",$250.29,-$10.00,$240.29
Bonus,Sports Profit Boost Awarded: 10OSUTEXLPB110,Sportsbook,"Jan 10, 2025, 7:19pm ET",2,1,3
Bonus,Automated expiry,Sportsbook,"Jan 10, 2025, 2:25am ET",3,-1,2
Bonus,No sweat token award 5OSUTEXNST110,Sportsbook,"Jan 9, 2025, 4:29pm ET",2,1,3
Bonus,No sweat token award 5NDPSUNST19,Sportsbook,"Jan 9, 2025, 4:29pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CFBPOPBT0110,Sportsbook,"Jan 9, 2025, 4:29pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000124),Sportsbook,"Jan 7, 2025, 8:41pm ET",$232.29,#ERROR!,$250.29
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00315428631),Sportsbook,"Jan 7, 2025, 8:08pm ET",$242.29,-$10.00,$232.29
Bonus,Automated expiry,Sportsbook,"Jan 6, 2025, 2:31am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jan 6, 2025, 12:19am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10NFLPBT0105,Sportsbook,"Jan 5, 2025, 3:58pm ET",1,1,2
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000123),Sportsbook,"Jan 4, 2025, 11:16pm ET",$210.88,#ERROR!,$242.29
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00313805438) (2 of 2),Sportsbook,"Jan 4, 2025, 8:47pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00313805438) (1 of 2),Sportsbook,"Jan 4, 2025, 8:47pm ET",$220.88,-$10.00,$210.88
Bonus,Sports Profit Boost Awarded: 10SOCPARPB0106,Sportsbook,"Jan 4, 2025, 3:41pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NFLLIVPB0104,Sportsbook,"Jan 4, 2025, 3:41pm ET",0,1,1
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Jan 3, 2025, 8:20pm ET",$0.00,#ERROR!,$220.88
Wallet transfer,Transfer out from OH,Sportsbook,"Dec 20, 2024, 8:15pm ET",$186.10,-$186.10,$0.00
Wallet transfer,Transfer in from MA to OH,Sportsbook,"Dec 14, 2024, 2:10pm ET",$0.00,#ERROR!,$186.10
Wallet transfer,Transfer out from OH,Sportsbook,"Dec 8, 2024, 5:59pm ET",$186.10,-$186.10,$0.00
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00283531438) (2 of 2),Sportsbook,"Nov 17, 2024, 8:18pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00283531438) (1 of 2),Sportsbook,"Nov 17, 2024, 8:18pm ET",$196.10,-$10.00,$186.10
Bonus,Sports Profit Boost Awarded: 10SNFSGPPB1117,Sportsbook,"Nov 17, 2024, 8:12pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Nov 17, 2024, 3:27am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000121),Sportsbook,"Nov 16, 2024, 11:21pm ET",$172.80,#ERROR!,$196.10
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00282480894) (2 of 2),Sportsbook,"Nov 16, 2024, 8:19pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00282480894) (1 of 2),Sportsbook,"Nov 16, 2024, 8:19pm ET",$182.80,-$10.00,$172.80
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00282381907),Sportsbook,"Nov 16, 2024, 6:27pm ET",$187.80,-$5.00,$182.80
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00282357807),Sportsbook,"Nov 16, 2024, 5:48pm ET",$197.80,-$10.00,$187.80
Bonus,Sports Profit Boost Awarded: 10ANYPARBB1116,Sportsbook,"Nov 16, 2024, 5:25pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10UTUGAPBT1116,Sportsbook,"Nov 16, 2024, 5:24pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000118),Sportsbook,"Nov 14, 2024, 11:01pm ET",$177.40,#ERROR!,$197.80
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00281320722) (2 of 2),Sportsbook,"Nov 14, 2024, 9:29pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00281320722) (1 of 2),Sportsbook,"Nov 14, 2024, 9:29pm ET",$187.40,-$10.00,$177.40
Bonus,Sports Profit Boost Awarded: 10NFLLIVPB1114,Sportsbook,"Nov 14, 2024, 9:22pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Nov 11, 2024, 12:23am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Nov 10, 2024, 3:14am ET",2,-1,1
Bonus,Automated expiry,Sportsbook,"Nov 10, 2024, 12:13am ET",3,-1,2
Bonus,Sports Profit Boost Awarded: 10SOCPARPB1110,Sportsbook,"Nov 9, 2024, 12:08pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10BBPBT11924,Sportsbook,"Nov 9, 2024, 12:08pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BMOCPBT1107,Sportsbook,"Nov 9, 2024, 12:08pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000117),Sportsbook,"Nov 8, 2024, 11:21pm ET",$174.27,#ERROR!,$187.40
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000116),Sportsbook,"Nov 8, 2024, 11:21pm ET",$152.27,#ERROR!,$174.27
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00277936708),Sportsbook,"Nov 8, 2024, 10:39pm ET",$162.27,-$10.00,$152.27
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00277934862),Sportsbook,"Nov 8, 2024, 10:34pm ET",$182.27,-$20.00,$162.27
Bonus,Automated expiry,Sportsbook,"Nov 8, 2024, 2:35am ET",1,-1,0
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000115),Sportsbook,"Nov 7, 2024, 10:47pm ET",$150.49,#ERROR!,$182.27
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00277305783) (2 of 2),Sportsbook,"Nov 7, 2024, 8:08pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00277305783) (1 of 2),Sportsbook,"Nov 7, 2024, 8:08pm ET",$160.49,-$10.00,$150.49
Bonus,Sports Profit Boost Awarded: 10TNFSGPPB1107,Sportsbook,"Nov 7, 2024, 8:02pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NFLLIVPB1106,Sportsbook,"Nov 7, 2024, 8:02pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Nov 6, 2024, 3:13am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Nov 5, 2024, 2:43am ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00276106665),Sportsbook,"Nov 4, 2024, 8:26pm ET",$170.49,-$10.00,$160.49
Bonus,Sports Profit Boost Awarded: 10NBASGPPB114,Sportsbook,"Nov 4, 2024, 7:51pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BBCBBPAR115,Sportsbook,"Nov 4, 2024, 7:51pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Nov 4, 2024, 3:28am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Nov 4, 2024, 12:22am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10SOCPARPB1103,Sportsbook,"Nov 3, 2024, 8:13am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10SNFSGPPBT113,Sportsbook,"Nov 3, 2024, 8:13am ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00274521896),Sportsbook,"Nov 2, 2024, 8:56pm ET",$180.49,-$10.00,$170.49
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000112),Sportsbook,"Nov 2, 2024, 7:36pm ET",$163.49,#ERROR!,$180.49
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00274335345),Sportsbook,"Nov 2, 2024, 5:03pm ET",$175.49,-$12.00,$163.49
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000111),Sportsbook,"Nov 2, 2024, 3:23pm ET",$141.69,#ERROR!,$175.49
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00274163628) (2 of 2),Sportsbook,"Nov 2, 2024, 12:38pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00274163628) (1 of 2),Sportsbook,"Nov 2, 2024, 12:38pm ET",$151.69,-$10.00,$141.69
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00274044934) (2 of 2),Sportsbook,"Nov 2, 2024, 10:42am ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00274044934) (1 of 2),Sportsbook,"Nov 2, 2024, 10:42am ET",$161.69,-$10.00,$151.69
Bonus,Sports Profit Boost Awarded: 10BMOCPBT1102,Sportsbook,"Nov 2, 2024, 10:27am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BBCFBPAR1102,Sportsbook,"Nov 2, 2024, 10:27am ET",0,1,1
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Nov 1, 2024, 6:41pm ET",$0.00,#ERROR!,$161.69
Wallet transfer,Transfer out from OH,Sportsbook,"Oct 21, 2024, 9:44pm ET",$171.39,-$171.39,$0.00
Bonus,Automated expiry,Sportsbook,"Oct 20, 2024, 3:10am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00266223812) (2 of 2),Sportsbook,"Oct 19, 2024, 9:05pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00266223812) (1 of 2),Sportsbook,"Oct 19, 2024, 9:05pm ET",$181.39,-$10.00,$171.39
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000107),Sportsbook,"Oct 19, 2024, 3:38pm ET",$161.87,#ERROR!,$181.39
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00265862098),Sportsbook,"Oct 19, 2024, 11:46am ET",$171.87,-$10.00,$161.87
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00265860010),Sportsbook,"Oct 19, 2024, 11:44am ET",$181.87,-$10.00,$171.87
Bonus,Sports Profit Boost Awarded: 10BBCFBPAR1019,Sportsbook,"Oct 19, 2024, 10:32am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BMOCPBT1019,Sportsbook,"Oct 19, 2024, 8:33am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 18, 2024, 3:04am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00265240116) (2 of 2),Sportsbook,"Oct 17, 2024, 8:44pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00265240116) (1 of 2),Sportsbook,"Oct 17, 2024, 8:44pm ET",$191.87,-$10.00,$181.87
Bonus,No sweat token award 5NFLSGPNS1017,Sportsbook,"Oct 17, 2024, 7:21pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NFLTNFPB1017,Sportsbook,"Oct 17, 2024, 7:20pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 14, 2024, 12:39am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Oct 14, 2024, 12:26am ET",2,-1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000105),Sportsbook,"Oct 13, 2024, 11:15pm ET",$158.77,#ERROR!,$191.87
Bonus,Sports Profit Boost Awarded: 10GRONKPBT1013,Sportsbook,"Oct 13, 2024, 8:06pm ET",1,1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00263775938) (2 of 2),Sportsbook,"Oct 13, 2024, 8:06pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00263775938) (1 of 2),Sportsbook,"Oct 13, 2024, 8:06pm ET",$168.77,-$10.00,$158.77
Bonus,Sports Profit Boost Awarded: 10SOCPARPB1011,Sportsbook,"Oct 13, 2024, 1:46pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10SNFSGPPB1013,Sportsbook,"Oct 13, 2024, 1:46pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 13, 2024, 3:08am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Oct 13, 2024, 12:25am ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00262778621) (2 of 2),Sportsbook,"Oct 12, 2024, 10:19pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00262778621) (1 of 2),Sportsbook,"Oct 12, 2024, 10:19pm ET",$178.77,-$10.00,$168.77
Bonus,Automated expiry,Sportsbook,"Oct 12, 2024, 8:00pm ET",4,-1,3
Bonus,Sports Profit Boost Awarded: 10OLMLSUPB1012,Sportsbook,"Oct 12, 2024, 10:06am ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10TXOKPBT1012,Sportsbook,"Oct 12, 2024, 10:06am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10OHBMCPBT107,Sportsbook,"Oct 12, 2024, 10:06am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BBCFBPAR1012,Sportsbook,"Oct 12, 2024, 10:06am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 11, 2024, 2:16am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10TNFPBT1010,Sportsbook,"Oct 10, 2024, 8:20pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 7, 2024, 3:25am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Oct 7, 2024, 12:04am ET",2,-1,1
Bonus,Automated expiry,Sportsbook,"Oct 6, 2024, 8:15pm ET",3,-1,2
Bonus,Sports Profit Boost Awarded: 10NFLSNFPBT106,Sportsbook,"Oct 6, 2024, 2:33pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10NFLSGPPBT106,Sportsbook,"Oct 6, 2024, 1:05pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10SOCPARPBT104,Sportsbook,"Oct 6, 2024, 1:04pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000103),Sportsbook,"Oct 6, 2024, 12:58pm ET",$144.58,#ERROR!,$178.77
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00259748944) (2 of 2),Sportsbook,"Oct 6, 2024, 10:07am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00259748944) (1 of 2),Sportsbook,"Oct 6, 2024, 10:07am ET",$154.58,-$10.00,$144.58
Bonus,Sports Profit Boost Awarded: 10NYJMINPBT106,Sportsbook,"Oct 6, 2024, 10:03am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 6, 2024, 2:21am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Oct 6, 2024, 2:11am ET",2,-1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000101),Sportsbook,"Oct 5, 2024, 6:41pm ET",$129.26,#ERROR!,$154.58
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00259292407) (2 of 2),Sportsbook,"Oct 5, 2024, 5:20pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00259292407) (1 of 2),Sportsbook,"Oct 5, 2024, 5:20pm ET",$139.26,-$10.00,$129.26
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00259284352) (2 of 2),Sportsbook,"Oct 5, 2024, 5:08pm ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00259284352) (1 of 2),Sportsbook,"Oct 5, 2024, 5:08pm ET",$151.26,-$12.00,$139.26
Bonus,Automated expiry,Sportsbook,"Oct 5, 2024, 4:04pm ET",5,-1,4
Bonus,Sports Profit Boost Awarded: 10UFCPARPBT105,Sportsbook,"Oct 5, 2024, 9:13am ET",4,1,5
Bonus,Sports Profit Boost Awarded: 25IAOHPBT105,Sportsbook,"Oct 5, 2024, 9:13am ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10CFBBMOC105,Sportsbook,"Oct 5, 2024, 9:13am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10BBCFBPAR1005,Sportsbook,"Oct 5, 2024, 9:13am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CFBLIVEPB105,Sportsbook,"Oct 5, 2024, 9:13am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Oct 4, 2024, 2:30am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Oct 4, 2024, 2:02am ET",2,-1,1
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Oct 3, 2024, 7:14pm ET",1,1,2
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Oct 3, 2024, 7:14pm ET",$0.00,#ERROR!,$151.26
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Oct 3, 2024, 7:14pm ET",0,1,1
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 21, 2024, 11:11pm ET",$26.42,-$26.42,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000099),Sportsbook,"Sep 21, 2024, 11:11pm ET",$0.00,#ERROR!,$26.42
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 21, 2024, 3:38pm ET",1,-1,0
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 21, 2024, 3:38pm ET",$118.82,-$118.82,$0.00
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 21, 2024, 3:38pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00252240950) (2 of 2),Sportsbook,"Sep 21, 2024, 12:51pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00252240950) (1 of 2),Sportsbook,"Sep 21, 2024, 12:51pm ET",$128.82,-$10.00,$118.82
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00252108890) (2 of 2),Sportsbook,"Sep 21, 2024, 9:59am ET",4,-1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00252108890) (1 of 2),Sportsbook,"Sep 21, 2024, 9:59am ET",$138.82,-$10.00,$128.82
Bonus,Sports Profit Boost Awarded: 10MUOSUPBT921,Sportsbook,"Sep 21, 2024, 9:55am ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10CFBTENPBT921,Sportsbook,"Sep 21, 2024, 9:55am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10USCMCFBPB921,Sportsbook,"Sep 21, 2024, 9:54am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CFBPARPBT921,Sportsbook,"Sep 21, 2024, 9:54am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 20, 2024, 2:02am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00251589221) (2 of 2),Sportsbook,"Sep 19, 2024, 8:09pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00251589221) (1 of 2),Sportsbook,"Sep 19, 2024, 8:09pm ET",$148.82,-$10.00,$138.82
Bonus,Sports Profit Boost Awarded: 10TNFPBT0917,Sportsbook,"Sep 19, 2024, 7:59pm ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Sep 17, 2024, 2:01am ET",2,-1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000097),Sportsbook,"Sep 16, 2024, 11:22pm ET",$115.44,#ERROR!,$148.82
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00250696512) (2 of 2),Sportsbook,"Sep 16, 2024, 8:07pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00250696512) (1 of 2),Sportsbook,"Sep 16, 2024, 8:07pm ET",$125.44,-$10.00,$115.44
Bonus,No sweat token award 10TNFSGPNST919,Sportsbook,"Sep 16, 2024, 7:40pm ET",2,1,3
Bonus,Automated expiry,Sportsbook,"Sep 16, 2024, 2:12am ET",3,-1,2
Bonus,Automated expiry,Sportsbook,"Sep 16, 2024, 12:18am ET",4,-1,3
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000096),Sportsbook,"Sep 15, 2024, 11:48pm ET",$107.54,#ERROR!,$125.44
Bonus,Automated expiry,Sportsbook,"Sep 15, 2024, 8:15pm ET",5,-1,4
Bonus,Sports Profit Boost Awarded: 10MNFPBTRS916,Sportsbook,"Sep 15, 2024, 5:11pm ET",4,1,5
Bonus,Sports Profit Boost Awarded: 10MNFPBTRS916,Sportsbook,"Sep 15, 2024, 5:11pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10SNFSGPPBT915,Sportsbook,"Sep 15, 2024, 5:08pm ET",2,1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00250188302) (2 of 2),Sportsbook,"Sep 15, 2024, 4:46pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00250188302) (1 of 2),Sportsbook,"Sep 15, 2024, 4:46pm ET",$117.54,-$10.00,$107.54
Bonus,Sports Profit Boost Awarded: 10NFLSGPPBT915,Sportsbook,"Sep 15, 2024, 4:37pm ET",2,1,3
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00250176180),Sportsbook,"Sep 15, 2024, 4:35pm ET",$127.54,-$10.00,$117.54
Bonus,Sports Profit Boost Awarded: 10GRONKTDPB915,Sportsbook,"Sep 15, 2024, 1:02pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10DOUBMLPBT915,Sportsbook,"Sep 15, 2024, 1:02pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 15, 2024, 3:23am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00249310205) (2 of 2),Sportsbook,"Sep 14, 2024, 8:46pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00249310205) (1 of 2),Sportsbook,"Sep 14, 2024, 8:46pm ET",$137.54,-$10.00,$127.54
Bonus,Sports Profit Boost Awarded: 10UFCPARPBT914,Sportsbook,"Sep 14, 2024, 8:45pm ET",1,1,2
Bonus,Automated expiry,Sportsbook,"Sep 14, 2024, 5:06pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00248873109) (2 of 2),Sportsbook,"Sep 14, 2024, 9:10am ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00248873109) (1 of 2),Sportsbook,"Sep 14, 2024, 9:10am ET",$147.54,-$10.00,$137.54
Bonus,Sports Profit Boost Awarded: 10CFBLIVPBT914,Sportsbook,"Sep 14, 2024, 8:36am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10CFBALWIPB914,Sportsbook,"Sep 13, 2024, 11:17pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CFBPARPBT913,Sportsbook,"Sep 13, 2024, 11:17pm ET",0,1,1
Bonus,Sports Bonus Awarded: 10TNFSGPNST912,Sportsbook,"Sep 13, 2024, 12:09am ET",$137.54,#ERROR!,$147.54
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00248467908) (2 of 2),Sportsbook,"Sep 12, 2024, 10:10pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00248467908) (1 of 2),Sportsbook,"Sep 12, 2024, 10:10pm ET",$147.54,-$10.00,$137.54
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00248399497) (2 of 2),Sportsbook,"Sep 12, 2024, 8:19pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00248399497) (1 of 2),Sportsbook,"Sep 12, 2024, 8:19pm ET",$157.54,-$10.00,$147.54
Bonus,No sweat token award 10TNFSGPNST912,Sportsbook,"Sep 12, 2024, 7:07pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BILTNFPBT912,Sportsbook,"Sep 12, 2024, 7:07pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Sep 10, 2024, 2:28am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10MNFLIVEPB909,Sportsbook,"Sep 9, 2024, 3:24pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000090),Sportsbook,"Sep 8, 2024, 7:44pm ET",$125.54,#ERROR!,$157.54
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00246485033) (2 of 2),Sportsbook,"Sep 8, 2024, 12:54pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00246485033) (1 of 2),Sportsbook,"Sep 8, 2024, 12:54pm ET",$135.54,-$10.00,$125.54
